Absence reason,Month,Day,Season,Transportation expense,Distance to Work,Service time,Age,Avg work load per day,Education level,Number of children,Pets,Weight,Height,Body mass index,Hours absent,Disease
23,Nov,Thr,Winter,291,31,12,40,306.345,h_school,1,1,73,171,25,3,no
23,Dec,Tue,Winter,248,25,14,47,261.306,h_school,2,1,86,165,32,1,no
19,Dec,Tue,Winter,118,10,10,37,261.306,h_school,0,0,83,172,28,64,yes
23,Dec,Wed,Winter,118,13,18,50,261.306,h_school,1,0,98,178,31,2,no
26,Dec,Wed,Winter,235,11,14,37,261.306,postgrad,1,1,88,172,29,8,no
23,Dec,Thr,Winter,225,26,9,28,261.306,h_school,1,2,69,169,24,2,no
26,Dec,Fri,Winter,260,50,11,36,261.306,h_school,4,0,65,168,23,8,no
19,Dec,Tue,Winter,118,10,10,37,261.306,h_school,0,0,83,172,28,56,yes
22,Dec,Wed,Winter,361,52,3,28,261.306,h_school,1,4,80,172,27,8,no
28,Dec,Thr,Winter,225,26,9,28,261.306,h_school,1,2,69,169,24,3,no
28,Dec,Fri,Winter,260,50,11,36,261.306,h_school,4,0,65,168,23,3,no
23,Dec,Tue,Winter,225,26,9,28,261.306,h_school,1,2,69,169,24,2,no
22,Dec,Wed,Winter,361,52,3,28,261.306,h_school,1,4,80,172,27,8,no
27,Dec,Fri,Winter,118,10,10,37,261.306,h_school,0,0,83,172,28,2,no
19,Dec,Fri,Summer,246,25,16,41,261.306,h_school,0,0,67,170,23,8,yes
23,Dec,Fri,Summer,225,26,9,28,261.306,h_school,1,2,69,169,24,2,no
23,Jan,Wed,Summer,225,26,9,28,308.593,h_school,1,2,69,169,24,1,no
19,Jan,Mon,Summer,118,10,10,37,308.593,h_school,0,0,83,172,28,1,yes
27,Jan,Tue,Summer,118,10,10,37,308.593,h_school,0,0,83,172,28,1,no
18,Jan,Tue,Summer,155,12,14,34,308.593,h_school,2,0,95,196,25,8,yes
27,Jan,Wed,Summer,225,26,9,28,308.593,h_school,1,2,69,169,24,2,no
23,Jan,Thr,Summer,184,42,7,27,308.593,h_school,0,0,58,167,21,2,no
28,Jan,Thr,Summer,225,26,9,28,308.593,h_school,1,2,69,169,24,2,no
27,Jan,Fri,Summer,225,26,9,28,308.593,h_school,1,2,69,169,24,1,no
27,Jan,Mon,Summer,118,10,10,37,308.593,h_school,0,0,83,172,28,2,no
27,Jan,Tue,Summer,225,26,9,28,308.593,h_school,1,2,69,169,24,2,no
27,Jan,Tue,Summer,118,10,10,37,308.593,h_school,0,0,83,172,28,2,no
27,Jan,Wed,Summer,118,10,10,37,308.593,h_school,0,0,83,172,28,2,no
27,Jan,Thr,Summer,118,10,10,37,308.593,h_school,0,0,83,172,28,2,no
27,Jan,Fri,Summer,118,10,10,37,308.593,h_school,0,0,83,172,28,2,no
27,Jan,Mon,Summer,118,10,10,37,308.593,h_school,0,0,83,172,28,2,no
27,Jan,Tue,Summer,118,10,10,37,308.593,h_school,0,0,83,172,28,2,no
18,Jan,Tue,Summer,179,26,9,30,308.593,postgrad,0,0,56,171,19,8,yes
18,Jan,Tue,Summer,289,36,13,33,308.593,h_school,2,1,90,172,30,8,yes
27,Jan,Wed,Summer,118,10,10,37,308.593,h_school,0,0,83,172,28,2,no
23,Jan,Thr,Summer,184,42,7,27,308.593,h_school,0,0,58,167,21,2,no
27,Jan,Thr,Summer,118,10,10,37,308.593,h_school,0,0,83,172,28,2,no
27,Jan,Mon,Summer,118,10,10,37,308.593,h_school,0,0,83,172,28,0,no
23,Jan,Tue,Summer,225,26,9,28,308.593,h_school,1,2,69,169,24,1,no
22,Jan,Thr,Summer,289,36,13,33,308.593,h_school,2,1,90,172,30,3,no
23,Feb,Fri,Summer,184,42,7,27,302.585,h_school,0,0,58,167,21,1,no
1,Feb,Wed,Summer,246,25,16,41,302.585,h_school,0,0,67,170,23,8,yes
11,Feb,Wed,Summer,179,51,18,38,302.585,h_school,0,0,89,170,31,8,yes
28,Feb,Thr,Summer,155,12,14,34,302.585,h_school,2,0,95,196,25,2,no
23,Feb,Thr,Summer,189,29,13,33,302.585,h_school,2,2,69,167,25,8,no
28,Feb,Fri,Summer,260,50,11,36,302.585,h_school,4,0,65,168,23,2,no
22,Feb,Fri,Summer,289,36,13,33,302.585,h_school,2,1,90,172,30,8,no
11,Feb,Mon,Summer,388,15,9,50,302.585,h_school,0,0,76,178,24,8,yes
1,Feb,Tue,Summer,388,15,9,50,302.585,h_school,0,0,76,178,24,8,yes
28,Feb,Mon,Summer,225,26,9,28,302.585,h_school,1,2,69,169,24,2,no
23,Feb,Tue,Summer,225,26,9,28,302.585,h_school,1,2,69,169,24,2,no
23,Feb,Tue,Summer,179,26,9,30,302.585,postgrad,0,0,56,171,19,1,no
23,Feb,Tue,Summer,184,42,7,27,302.585,h_school,0,0,58,167,21,8,no
25,Feb,Thr,Summer,225,26,9,28,302.585,h_school,1,2,69,169,24,3,no
18,Feb,Mon,Summer,330,16,4,28,302.585,graduate,0,0,84,182,25,8,yes
23,Feb,Tue,Summer,330,16,4,28,302.585,graduate,0,0,84,182,25,1,no
23,Feb,Wed,Summer,225,26,9,28,302.585,h_school,1,2,69,169,24,1,no
19,Feb,Thr,Summer,189,29,13,33,302.585,h_school,2,2,69,167,25,8,yes
28,Mar,Tue,Summer,291,50,12,32,343.253,h_school,0,0,65,169,23,2,no
19,Mar,Tue,Summer,260,50,11,36,343.253,h_school,4,0,65,168,23,8,yes
19,Mar,Tue,Summer,157,27,6,29,343.253,h_school,0,0,75,185,22,3,yes
17,Mar,Tue,Summer,179,22,17,40,343.253,graduate,2,0,63,170,22,8,yes
22,Mar,Wed,Summer,291,31,12,40,343.253,h_school,1,1,73,171,25,8,no
13,Mar,Wed,Summer,260,50,11,36,343.253,h_school,4,0,65,168,23,8,yes
13,Mar,Thr,Summer,179,26,9,30,343.253,postgrad,0,0,56,171,19,8,yes
14,Mar,Fri,Summer,248,25,14,47,343.253,h_school,2,1,86,165,32,3,yes
13,Mar,Fri,Summer,260,50,11,36,343.253,h_school,4,0,65,168,23,40,yes
11,Mar,Mon,Summer,179,22,17,40,343.253,graduate,2,0,63,170,22,40,yes
1,Mar,Mon,Summer,155,12,14,34,343.253,h_school,2,0,95,196,25,16,yes
26,Mar,Mon,Summer,260,50,11,36,343.253,h_school,4,0,65,168,23,16,no
13,Mar,Tue,Summer,155,12,14,34,343.253,h_school,2,0,95,196,25,8,yes
6,Mar,Thr,Summer,289,36,13,33,343.253,h_school,2,1,90,172,30,8,yes
8,Mar,Thr,Summer,179,22,17,40,343.253,graduate,2,0,63,170,22,8,yes
28,Mar,Fri,Summer,260,50,11,36,343.253,h_school,4,0,65,168,23,4,no
23,Mar,Fri,Summer,225,26,9,28,343.253,h_school,1,2,69,169,24,1,no
14,Mar,Mon,Summer,279,5,14,39,343.253,h_school,2,0,68,168,24,8,yes
13,Mar,Tue,Summer,179,51,18,38,343.253,h_school,0,0,89,170,31,24,yes
23,Mar,Wed,Summer,225,26,9,28,343.253,h_school,1,2,69,169,24,2,no
11,Mar,Mon,Fall,225,26,9,28,343.253,h_school,1,2,69,169,24,8,yes
13,Mar,Mon,Fall,179,26,9,30,343.253,postgrad,0,0,56,171,19,1,yes
11,Mar,Tue,Fall,225,26,9,28,343.253,h_school,1,2,69,169,24,8,yes
11,Mar,Wed,Fall,225,26,9,28,343.253,h_school,1,2,69,169,24,16,yes
13,Mar,Wed,Fall,179,51,18,38,343.253,h_school,0,0,89,170,31,3,yes
14,Mar,Thr,Fall,279,5,14,39,343.253,h_school,2,0,68,168,24,16,yes
28,Mar,Fri,Fall,225,26,9,28,343.253,h_school,1,2,69,169,24,2,no
14,Mar,Fri,Fall,248,25,14,47,343.253,h_school,2,1,86,165,32,3,yes
28,Mar,Mon,Fall,225,26,9,28,343.253,h_school,1,2,69,169,24,1,no
28,Apr,Wed,Fall,291,31,12,40,326.452,h_school,1,1,73,171,25,1,no
23,Apr,Wed,Fall,225,26,9,28,326.452,h_school,1,2,69,169,24,1,no
28,Apr,Tue,Fall,155,12,14,34,326.452,h_school,2,0,95,196,25,1,no
13,Apr,Wed,Fall,246,25,16,41,326.452,h_school,0,0,67,170,23,24,yes
23,Apr,Thr,Fall,155,12,14,34,326.452,h_school,2,0,95,196,25,1,no
28,Apr,Fri,Fall,225,26,9,28,326.452,h_school,1,2,69,169,24,2,no
28,Apr,Fri,Fall,260,50,11,36,326.452,h_school,4,0,65,168,23,4,no
13,Apr,Wed,Fall,179,51,18,38,326.452,h_school,0,0,89,170,31,24,yes
23,Apr,Thr,Fall,118,13,18,50,326.452,h_school,1,0,98,178,31,1,no
23,Apr,Fri,Fall,291,31,12,40,326.452,h_school,1,1,73,171,25,3,no
14,Apr,Fri,Fall,246,25,16,41,326.452,h_school,0,0,67,170,23,8,yes
28,Apr,Fri,Fall,291,31,12,40,326.452,h_school,1,1,73,171,25,1,no
28,Apr,Fri,Fall,248,25,14,47,326.452,h_school,2,1,86,165,32,8,no
19,Apr,Fri,Fall,260,50,11,36,326.452,h_school,4,0,65,168,23,56,yes
19,Apr,Tue,Fall,289,36,13,33,326.452,h_school,2,1,90,172,30,8,yes
12,Apr,Wed,Fall,155,12,14,34,326.452,h_school,2,0,95,196,25,24,yes
19,Apr,Wed,Fall,378,49,11,36,326.452,h_school,2,4,65,174,21,8,yes
13,Apr,Thr,Fall,289,36,13,33,326.452,h_school,2,1,90,172,30,16,yes
7,Apr,Fri,Fall,235,11,14,37,326.452,postgrad,1,1,88,172,29,3,yes
0,Apr,Mon,Fall,235,29,12,48,326.452,h_school,1,5,88,163,33,0,no
13,May,Wed,Fall,289,36,13,33,378.884,h_school,2,1,90,172,30,8,yes
28,May,Thr,Fall,155,12,14,34,378.884,h_school,2,0,95,196,25,2,no
28,May,Mon,Fall,155,12,14,34,378.884,h_school,2,0,95,196,25,1,no
18,May,Tue,Fall,179,51,18,38,378.884,h_school,0,0,89,170,31,8,yes
19,May,Tue,Fall,225,26,9,28,378.884,h_school,1,2,69,169,24,8,yes
7,May,Wed,Fall,184,42,7,27,378.884,h_school,0,0,58,167,21,4,yes
28,May,Mon,Fall,155,12,14,34,378.884,h_school,2,0,95,196,25,2,no
12,May,Tue,Fall,179,51,18,38,378.884,h_school,0,0,89,170,31,1,yes
13,May,Wed,Fall,289,36,13,33,378.884,h_school,2,1,90,172,30,24,yes
0,May,Wed,Fall,279,5,14,39,378.884,h_school,2,0,68,168,24,0,no
0,May,Wed,Fall,330,16,4,28,378.884,graduate,0,0,84,182,25,0,no
0,May,Wed,Fall,378,49,11,36,378.884,h_school,2,4,65,174,21,0,no
0,May,Wed,Fall,388,15,9,50,378.884,h_school,0,0,76,178,24,0,no
11,May,Tue,Fall,179,51,18,38,378.884,h_school,0,0,89,170,31,1,yes
13,May,Wed,Fall,118,13,18,50,378.884,h_school,1,0,98,178,31,24,yes
22,May,Fri,Fall,361,52,3,28,378.884,h_school,1,4,80,172,27,8,no
19,Jun,Mon,Fall,246,25,16,41,377.55,h_school,0,0,67,170,23,8,yes
22,Jun,Mon,Fall,361,52,3,28,377.55,h_school,1,4,80,172,27,8,no
10,Jun,Tue,Fall,246,25,16,41,377.55,h_school,0,0,67,170,23,24,yes
23,Jun,Thr,Fall,291,31,12,40,377.55,h_school,1,1,73,171,25,4,no
10,Jun,Fri,Fall,246,25,16,41,377.55,h_school,0,0,67,170,23,8,yes
11,Jun,Mon,Fall,179,51,18,38,377.55,h_school,0,0,89,170,31,8,yes
23,Jun,Mon,Fall,155,12,14,34,377.55,h_school,2,0,95,196,25,4,no
10,Jun,Mon,Fall,246,25,16,41,377.55,h_school,0,0,67,170,23,8,yes
13,Jun,Wed,Fall,118,13,18,50,377.55,h_school,1,0,98,178,31,8,yes
13,Jun,Fri,Fall,235,11,14,37,377.55,postgrad,1,1,88,172,29,16,yes
23,Jun,Tue,Fall,118,13,18,50,377.55,h_school,1,0,98,178,31,1,no
13,Jun,Wed,Fall,118,13,18,50,377.55,h_school,1,0,98,178,31,80,yes
22,Jun,Thr,Fall,378,49,11,36,377.55,h_school,2,4,65,174,21,8,no
11,Jun,Fri,Fall,179,51,18,38,377.55,h_school,0,0,89,170,31,2,yes
28,Jun,Mon,Spring,289,48,29,49,377.55,h_school,0,2,108,172,36,2,no
28,Jun,Thr,Spring,225,26,9,28,377.55,h_school,1,2,69,169,24,2,no
19,Jul,Tue,Spring,155,12,14,34,275.312,h_school,2,0,95,196,25,16,yes
1,Jul,Wed,Spring,118,13,18,50,275.312,h_school,1,0,98,178,31,8,yes
5,Jul,Fri,Spring,118,10,10,37,275.312,h_school,0,0,83,172,28,8,yes
26,Jul,Fri,Spring,118,10,10,37,275.312,h_school,0,0,83,172,28,4,no
26,Jul,Tue,Spring,330,16,4,28,275.312,graduate,0,0,84,182,25,8,no
18,Jul,Thr,Spring,179,26,9,30,275.312,postgrad,0,0,56,171,19,8,yes
25,Jul,Fri,Spring,155,12,14,34,275.312,h_school,2,0,95,196,25,2,no
1,Jul,Mon,Spring,330,16,4,28,275.312,graduate,0,0,84,182,25,8,yes
1,Jul,Tue,Spring,330,16,4,28,275.312,graduate,0,0,84,182,25,8,yes
25,Jul,Mon,Spring,157,27,6,29,275.312,h_school,0,0,75,185,22,3,no
22,Jul,Tue,Spring,361,52,3,28,275.312,h_school,1,4,80,172,27,8,no
26,Jul,Wed,Spring,289,36,13,33,275.312,h_school,2,1,90,172,30,8,no
26,Jul,Thr,Spring,179,51,18,38,275.312,h_school,0,0,89,170,31,8,no
19,Jul,Mon,Spring,289,36,13,33,275.312,h_school,2,1,90,172,30,32,yes
19,Jul,Thr,Spring,289,36,13,33,275.312,h_school,2,1,90,172,30,8,yes
0,Jul,Thr,Spring,260,50,11,36,275.312,h_school,4,0,65,168,23,0,no
19,Aug,Fri,Spring,289,36,13,33,265.615,h_school,2,1,90,172,30,8,yes
19,Aug,Fri,Spring,157,27,6,29,265.615,h_school,0,0,75,185,22,3,yes
23,Aug,Mon,Spring,289,36,13,33,265.615,h_school,2,1,90,172,30,1,no
18,Aug,Tue,Spring,228,14,16,58,265.615,h_school,2,1,65,172,22,8,yes
13,Aug,Thr,Spring,300,26,13,43,265.615,h_school,2,1,77,175,25,1,yes
14,Aug,Thr,Spring,300,26,13,43,265.615,h_school,2,1,77,175,25,2,yes
28,Aug,Fri,Spring,260,50,11,36,265.615,h_school,4,0,65,168,23,4,no
23,Aug,Tue,Spring,289,36,13,33,265.615,h_school,2,1,90,172,30,4,no
23,Aug,Wed,Spring,248,25,14,47,265.615,h_school,2,1,86,165,32,1,no
11,Aug,Thr,Spring,268,11,8,33,265.615,graduate,0,0,79,178,25,8,yes
23,Aug,Thr,Spring,179,26,9,30,265.615,postgrad,0,0,56,171,19,1,no
13,Aug,Thr,Spring,118,13,18,50,265.615,h_school,1,0,98,178,31,3,yes
25,Aug,Mon,Spring,248,25,14,47,265.615,h_school,2,1,86,165,32,2,no
23,Aug,Tue,Spring,235,11,14,37,265.615,postgrad,1,1,88,172,29,1,no
23,Aug,Thr,Spring,118,13,18,50,265.615,h_school,1,0,98,178,31,1,no
19,Aug,Thr,Spring,235,11,14,37,265.615,postgrad,1,1,88,172,29,8,yes
8,Aug,Tue,Spring,361,52,3,28,265.615,h_school,1,4,80,172,27,8,yes
6,Aug,Wed,Spring,184,42,7,27,265.615,h_school,0,0,58,167,21,8,yes
11,Sep,Mon,Spring,179,51,18,38,294.217,h_school,0,0,89,170,31,8,yes
23,Sep,Fri,Spring,179,51,18,38,294.217,h_school,0,0,89,170,31,3,no
19,Sep,Wed,Spring,289,36,13,33,294.217,h_school,2,1,90,172,30,24,yes
0,Sep,Thr,Spring,235,20,13,43,294.217,h_school,1,0,106,167,38,0,no
9,Sep,Mon,Spring,246,25,16,41,294.217,h_school,0,0,67,170,23,16,yes
28,Sep,Tue,Spring,291,31,12,40,294.217,h_school,1,1,73,171,25,3,no
0,Sep,Tue,Spring,231,35,14,39,294.217,h_school,2,2,100,170,35,0,no
0,Sep,Tue,Spring,291,50,12,32,294.217,h_school,0,0,65,169,23,0,no
13,Sep,Wed,Spring,179,51,18,38,294.217,h_school,0,0,89,170,31,8,yes
9,Sep,Wed,Spring,246,25,16,41,294.217,h_school,0,0,67,170,23,32,yes
23,Sep,Thr,Spring,179,51,18,38,294.217,h_school,0,0,89,170,31,1,no
28,Sep,Fri,Spring,291,31,12,40,294.217,h_school,1,1,73,171,25,4,no
28,Sep,Fri,Spring,260,50,11,36,294.217,h_school,4,0,65,168,23,4,no
26,Sep,Wed,Winter,235,20,13,43,294.217,h_school,1,0,106,167,38,8,no
28,Sep,Thr,Winter,118,13,18,50,294.217,h_school,1,0,98,178,31,1,no
0,Sep,Thr,Winter,235,20,13,43,294.217,h_school,1,0,106,167,38,0,no
28,Sep,Fri,Winter,291,31,12,40,294.217,h_school,1,1,73,171,25,3,no
7,Sep,Mon,Winter,291,31,12,40,294.217,h_school,1,1,73,171,25,40,yes
13,Sep,Mon,Winter,179,51,18,38,294.217,h_school,0,0,89,170,31,8,yes
24,Oct,Mon,Winter,289,36,13,33,265.017,h_school,2,1,90,172,30,8,no
26,Oct,Mon,Winter,235,11,14,37,265.017,postgrad,1,1,88,172,29,4,no
26,Oct,Mon,Winter,289,36,13,33,265.017,h_school,2,1,90,172,30,8,no
22,Oct,Fri,Winter,289,36,13,33,265.017,h_school,2,1,90,172,30,8,no
0,Oct,Fri,Winter,118,13,18,50,265.017,h_school,1,0,98,178,31,0,no
0,Oct,Fri,Winter,248,25,14,47,265.017,h_school,2,1,86,165,32,0,no
1,Oct,Mon,Winter,179,26,9,30,265.017,postgrad,0,0,56,171,19,8,yes
7,Oct,Mon,Winter,118,10,10,37,265.017,h_school,0,0,83,172,28,3,yes
22,Oct,Mon,Winter,369,17,12,31,265.017,h_school,3,0,70,169,25,8,no
28,Oct,Wed,Winter,179,51,18,38,265.017,h_school,0,0,89,170,31,1,no
1,Oct,Wed,Winter,179,26,9,30,265.017,postgrad,0,0,56,171,19,64,yes
0,Oct,Wed,Winter,235,20,13,43,265.017,h_school,1,0,106,167,38,0,no
19,Oct,Thr,Winter,289,36,13,33,265.017,h_school,2,1,90,172,30,16,yes
28,Oct,Fri,Winter,260,50,11,36,265.017,h_school,4,0,65,168,23,3,no
0,Oct,Fri,Winter,235,20,13,43,265.017,h_school,1,0,106,167,38,0,no
23,Oct,Mon,Winter,235,20,13,43,265.017,h_school,1,0,106,167,38,2,no
23,Oct,Mon,Winter,235,20,13,43,265.017,h_school,1,0,106,167,38,2,no
28,Oct,Tue,Winter,118,13,18,50,265.017,h_school,1,0,98,178,31,1,no
28,Oct,Tue,Winter,291,31,12,40,265.017,h_school,1,1,73,171,25,4,no
23,Oct,Thr,Winter,179,26,9,30,265.017,postgrad,0,0,56,171,19,16,no
28,Oct,Thr,Winter,118,13,18,50,265.017,h_school,1,0,98,178,31,1,no
10,Oct,Mon,Winter,361,52,3,28,265.017,h_school,1,4,80,172,27,8,yes
0,Oct,Tue,Winter,260,50,11,36,265.017,h_school,4,0,65,168,23,0,no
