,index,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Industry,Sector,Revenue,Lower Salary,Upper Salary,Avg Salary(K),Job Location,Age
18,18,Data Scientist - Health Data Analytics,$110K-$175K (Glassdoor est.),4.2,"Nuna
4.2","San Francisco, CA",51 - 200 ,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,110,175,142.5,CA,11
19,19,Data Scientist,$64K-$111K (Glassdoor est.),4.0,"Pinnacol Assurance
4.0","Denver, CO",501 - 1000 ,Insurance Carriers,Insurance,$500 million to $1 billion (USD),64,111,87.5,CO,106
20,20,Data Scientist,$81K-$130K (Glassdoor est.),3.2,"Porch
3.2","Seattle, WA",201 - 500 ,Internet,Information Technology,Unknown / Non-Applicable,81,130,105.5,WA,9
21,21,Senior Data Scientist / Machine Learning,$73K-$119K (Glassdoor est.),3.9,"Health IQ
3.9","Dallas, TX",201 - 500 ,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,73,119,96.0,TX,8
22,22,Data Scientist - Quantitative,$86K-$139K (Glassdoor est.),3.8,"Truckstop.com
3.8","Chicago, IL",501 - 1000 ,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,86,139,112.5,IL,26
23,23,Data Scientist,$63K-$105K (Glassdoor est.),4.3,"SMC 3
4.3","Louisville, KY",51 - 200 ,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),63,105,84.0,KY,86
24,25,Data Scientist,$109K-$177K (Glassdoor est.),4.0,"Novetta
4.0","Herndon, VA",501 - 1000 ,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),109,177,143.0,VA,9
25,26,Digital Health Data Scientist,$63K-$110K (Glassdoor est.),4.0,"Pfizer
4.0","Cambridge, MA",10000+ ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),63,110,86.5,MA,172
26,27,Data Scientist,$75K-$124K (Glassdoor est.),3.5,"First Tech Federal Credit Union
3.5","Hillsboro, OR",1001 - 5000 ,Banks & Credit Unions,Finance,$100 to $500 million (USD),75,124,99.5,OR,69
27,28,Associate Data Analyst,$34K-$61K (Glassdoor est.),3.7,"The Hanover Insurance Group
3.7","Worcester, MA",5001 - 10000 ,Insurance Carriers,Insurance,$5 to $10 billion (USD),34,61,47.5,MA,169
28,29,Clinical Data Scientist,$63K-$105K (Glassdoor est.),4.0,"Pfizer
4.0","Groton, CT",10000+ ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),63,105,84.0,CT,172
29,30,Data Scientist,$80K-$90K (Glassdoor est.),4.8,"KnowBe4
4.8","Clearwater, FL",501 - 1000 ,Security Services,Business Services,$100 to $500 million (USD),80,90,85.0,FL,11
30,31,Data Scientist,$56K-$97K (Glassdoor est.),3.8,"PNNL
3.8","Richland, WA",1001 - 5000 ,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),56,97,76.5,WA,56
31,32,Data Scientist,$72K-$120K (Glassdoor est.),3.6,"Amrock
3.6","Detroit, MI",1001 - 5000 ,Real Estate,Real Estate,$500 million to $1 billion (USD),72,120,96.0,MI,24
32,33,Data Scientist / Machine Learning Expert,$86K-$143K (Glassdoor est.),3.8,"Novartis
3.8","Cambridge, MA",10000+ ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),86,143,114.5,MA,25
33,34,Data Scientist,$93K-$149K (Glassdoor est.),3.8,"Juniper Networks
3.8","Sunnyvale, CA",5001 - 10000 ,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),93,149,121.0,CA,25
34,35,Data Scientist,$85K-$140K (Glassdoor est.),4.7,"New England Biolabs
4.7","Ipswich, MA",201 - 500 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,85,140,112.5,MA,47
35,36,Web Data Analyst,$77K-$135K (Glassdoor est.),4.2,"Clarity Insights
4.2","San Jose, CA",201 - 500 ,IT Services,Information Technology,Unknown / Non-Applicable,77,135,106.0,CA,13
36,37,Data Scientist,$82K-$132K (Glassdoor est.),3.5,"Esri
3.5","Redlands, CA",1001 - 5000 ,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),82,132,107.0,CA,52
37,38,Data Scientist,$83K-$137K (Glassdoor est.),4.7,"Systems & Technology Research
4.7","Woburn, MA",201 - 500 ,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),83,137,110.0,MA,11
38,39,Senior Data Scientist,$115K-$180K (Glassdoor est.),3.5,"Sartorius
3.5","Fremont, CA",5001 - 10000 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),115,180,147.5,CA,151
39,40,Data Engineer,$74K-$138K (Glassdoor est.),3.5,"Lancer Insurance
3.5","Long Beach, NY",201 - 500 ,Insurance Carriers,Insurance,$100 to $500 million (USD),74,138,106.0,NY,36
40,41,Data Analyst,$64K-$112K (Glassdoor est.),4.2,"Sauce Labs
4.2","San Francisco, CA",201 - 500 ,IT Services,Information Technology,$50 to $100 million (USD),64,112,88.0,CA,13
41,43,Data Engineer,$68K-$129K (Glassdoor est.),3.6,"Persivia
3.6","Marlborough, MA",1 - 50 ,-1,-1,Less than $1 million (USD),68,129,98.5,MA,-1
42,44,Data Scientist - Algorithms & Inference,$110K-$175K (Glassdoor est.),4.2,"Nuna
4.2","San Francisco, CA",51 - 200 ,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,110,175,142.5,CA,11
43,45,Scientist,$52K-$113K (Glassdoor est.),3.4,"Edgewell Personal Care
3.4","Allendale, NJ",5001 - 10000 ,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),52,113,82.5,NJ,6
44,46,Senior Data Scientist,$110K-$150K(Employer est.),4.3,"Equity Residential
4.3","Chicago, IL",1001 - 5000 ,Real Estate,Real Estate,$2 to $5 billion (USD),110,150,130.0,IL,28
45,48,Data Scientist,Employer Provided Salary:$150K-$160K,5.0,"BPA Services
5.0","Washington, DC",unknown,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,150,160,155.0,DC,-1
46,49,Lead Data Scientist,$158K-$211K (Glassdoor est.),3.7,"Visa Inc.
3.7","Bellevue, WA",10000+ ,IT Services,Information Technology,$10+ billion (USD),158,211,184.5,WA,63
47,50,Associate Data Analyst,$20K-$39K (Glassdoor est.),3.1,"Intrado
3.1","Longmont, CO",5001 - 10000 ,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),20,39,29.5,CO,35
48,51,Spectral Scientist/Engineer,$56K-$117K (Glassdoor est.),4.7,"Centauri
4.7","Beavercreek, OH",501 - 1000 ,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),56,117,86.5,OH,22
49,52,College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K (Glassdoor est.),3.7,"Caterpillar
3.7","Peoria, IL",10000+ ,Industrial Manufacturing,Manufacturing,$10+ billion (USD),63,99,81.0,IL,96
50,54,Data Scientist,$68K-$114K (Glassdoor est.),3.8,"Zimmerman Advertising
3.8","Fort Lauderdale, FL",501 - 1000 ,Advertising & Marketing,Business Services,Unknown / Non-Applicable,68,114,91.0,FL,37
51,55,"Data Scientist, Office of Data Science",$86K-$143K (Glassdoor est.),3.3,"Liberty Mutual Insurance
3.3","Boston, MA",10000+ ,Insurance Carriers,Insurance,$10+ billion (USD),86,143,114.5,MA,109
52,56,Data Science Analyst,$41K-$95K (Glassdoor est.),4.6,"Torch Technologies, Inc.
4.6","Huntsville, AL",1001 - 5000 ,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),41,95,68.0,AL,19
53,57,Data Scientist,$86K-$144K (Glassdoor est.),3.7,"Swiss Re
3.7","Armonk, NY",10000+ ,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),86,144,115.0,NY,158
54,58,Data Scientist,$80K-$139K (Glassdoor est.),3.7,"Northrop Grumman
3.7","San Diego, CA",10000+ ,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),80,139,109.5,CA,82
55,59,Data Scientist,$56K-$95K (Glassdoor est.),3.5,"Sartorius
3.5","Albuquerque, NM",5001 - 10000 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),56,95,75.5,NM,151
56,60,Data Scientist,$120K-$189K (Glassdoor est.),4.1,"Netskope
4.1","San Francisco, CA",501 - 1000 ,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,120,189,154.5,CA,9
57,61,Data Scientist,$111K-$176K (Glassdoor est.),4.7,"1904labs
4.7","Saint Louis, MO",51 - 200 ,IT Services,Information Technology,Unknown / Non-Applicable,111,176,143.5,MO,5
58,62,Data Scientist,$54K-$93K (Glassdoor est.),4.1,"ClearOne Advantage
4.1","Baltimore, MD",501 - 1000 ,Banks & Credit Unions,Finance,Unknown / Non-Applicable,54,93,73.5,MD,13
59,63,Data Scientist,$71K-$119K (Glassdoor est.),3.4,"CyrusOne
3.4","Dallas, TX",201 - 500 ,Real Estate,Real Estate,$1 to $2 billion (USD),71,119,95.0,TX,21
60,65,Senior Data Scientist,$82K-$132K (Glassdoor est.),4.4,"The David J. Joseph Company
4.4","Cincinnati, OH",201 - 500 ,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,82,132,107.0,OH,136
61,66,Data Scientist,$84K-$146K (Glassdoor est.),4.3,"USEReady
4.3","New York, NY",201 - 500 ,Consulting,Business Services,$10 to $25 million (USD),84,146,115.0,NY,10
62,67,Senior Risk Data Scientist,$107K-$172K (Glassdoor est.),3.8,"Bill.com
3.8","Palo Alto, CA",501 - 1000 ,Financial Transaction Processing,Finance,$50 to $100 million (USD),107,172,139.5,CA,15
63,68,Data Scientist in Artificial Intelligence Early Career,$49K-$85K (Glassdoor est.),3.8,"Pacific Northwest National Laboratory
3.8","Richland, WA",1001 - 5000 ,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),49,85,67.0,WA,56
64,70,Data Scientist,$61K-$109K (Glassdoor est.),3.8,"DICK'S Sporting Goods - Corporate
3.8","Coraopolis, PA",10000+ ,Sporting Goods Stores,Retail,$5 to $10 billion (USD),61,109,85.0,PA,73
65,72,Data Scientist,$88K-$148K (Glassdoor est.),2.8,"Berg Health
2.8","Framingham, MA",51 - 200 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),88,148,118.0,MA,15
66,73,Data Scientist,$60K-$99K (Glassdoor est.),4.7,"Oversight Systems
4.7","Atlanta, GA",51 - 200 ,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),60,99,79.5,GA,18
67,75,Data Scientist - Research,$41K-$72K (Glassdoor est.),3.1,"C Space
3.1","Boston, MA",201 - 500 ,Advertising & Marketing,Business Services,$100 to $500 million (USD),41,72,56.5,MA,22
68,76,Data Scientist,$96K-$161K (Glassdoor est.),3.2,"Numeric, LLC
3.2","Philadelphia, PA",1 - 50 ,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),96,161,128.5,PA,-1
69,77,R&D Data Analysis Scientist,$65K-$130K (Glassdoor est.),4.0,"HP Inc.
4.0","Vancouver, WA",10000+ ,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,65,130,97.5,WA,82
70,78,Analytics Consultant,$52K-$81K (Glassdoor est.),4.4,"SpringML
4.4","Indianapolis, IN",1 - 50 ,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,52,81,66.5,IN,6
71,79,"Director, Data Science",$139K-$220K (Glassdoor est.),3.6,"Grainger
3.6","Lake Forest, IL",10000+ ,Wholesale,Business Services,$10+ billion (USD),139,220,179.5,IL,94
72,80,Scientist,$50K-$102K (Glassdoor est.),2.7,"EAG Laboratories
2.7","Maryland Heights, MO",501 - 1000 ,Research & Development,Business Services,$50 to $100 million (USD),50,102,76.0,MO,43
73,81,Data Scientist SR,$85K-$139K (Glassdoor est.),3.9,"The Buffalo Group
3.9","Charlottesville, VA",501 - 1000 ,IT Services,Information Technology,$100 to $500 million (USD),85,139,112.0,VA,11
74,82,Data Scientist,$74K-$122K (Glassdoor est.),3.1,"Carmeuse
3.1","Pittsburgh, PA",1001 - 5000 ,Mining,Mining & Metals,$1 to $2 billion (USD),74,122,98.0,PA,161
75,83,R&D Sr Data Scientist,$99K-$157K (Glassdoor est.),4.0,"HP Inc.
4.0","Vancouver, WA",10000+ ,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,99,157,128.0,WA,82
76,84,Customer Data Scientist/Sales Engineer (Bay,$79K-$222K (Glassdoor est.),4.3,"h2o.ai
4.3","Mountain View, CA",201 - 500 ,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,79,222,150.5,CA,10
77,85,Research Scientist,$57K-$118K (Glassdoor est.),1.9,"GNS Healthcare
1.9","Cambridge, MA",51 - 200 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),57,118,87.5,MA,21
78,86,Data Scientist,$83K-$137K (Glassdoor est.),3.3,"Peraton
3.3","Chantilly, VA",1001 - 5000 ,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),83,137,110.0,VA,4
79,87,Data Scientist,$86K-$141K (Glassdoor est.),4.4,"Pactera
4.4","San Jose, CA",10000+ ,IT Services,Information Technology,$500 million to $1 billion (USD),86,141,113.5,CA,26
80,88,Data Scientist,$94K-$154K (Glassdoor est.),3.9,"Nurx
3.9","San Francisco, CA",51 - 200 ,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),94,154,124.0,CA,5
81,89,Jr. Business Data Analyst,$37K-$76K (Glassdoor est.),4.7,"webfx.com
4.7","Harrisburg, PA",201 - 500 ,Advertising & Marketing,Business Services,$25 to $50 million (USD),37,76,56.5,PA,24
82,90,Data Scientist,$100K-$160K (Glassdoor est.),4.5,"Johns Hopkins University Applied Physics Laboratory
4.5","Laurel, MD",5001 - 10000 ,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),100,160,130.0,MD,79
83,91,Data Analyst,$55K-$100K (Glassdoor est.),4.3,"Productive Edge
4.3","Chicago, IL",51 - 200 ,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),55,100,77.5,IL,13
84,92,Data Engineer,$60K-$114K (Glassdoor est.),4.0,"Excella Consulting
4.0","Arlington, VA",201 - 500 ,Consulting,Business Services,$50 to $100 million (USD),60,114,87.0,VA,19
85,93,Data Analyst,$39K-$68K (Glassdoor est.),4.4,"Gensco
4.4","Tacoma, WA",501 - 1000 ,Wholesale,Business Services,$100 to $500 million (USD),39,68,53.5,WA,73
86,94,Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),3.2,"Walmart
3.2","Plano, TX",10000+ ,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),106,172,139.0,TX,59
87,95,Data Scientist,$86K-$142K (Glassdoor est.),3.8,"Logic20/20
3.8","San Jose, CA",201 - 500 ,Consulting,Business Services,$25 to $50 million (USD),86,142,114.0,CA,16
88,96,Data Scientist,$64K-$107K (Glassdoor est.),4.2,"goTRG
4.2","Miami, FL",501 - 1000 ,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),64,107,85.5,FL,13
89,97,Data Management Specialist,$31K-$65K (Glassdoor est.),4.5,"NMR Consulting
4.5","Huntsville, AL",51 - 200 ,IT Services,Information Technology,$25 to $50 million (USD),31,65,48.0,AL,25
90,99,E-Commerce Data Analyst,$34K-$62K (Glassdoor est.),3.5,"iSeatz
3.5","New Orleans, LA",51 - 200 ,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,34,62,48.0,LA,22
91,101,Sr. Scientist II,$117K-$231K (Glassdoor est.),3.5,"Nektar Therapeutics
3.5","San Francisco, CA",201 - 500 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),117,231,174.0,CA,31
92,102,Insurance Data Scientist,$64K-$106K (Glassdoor est.),3.9,"TransUnion
3.9","Atlanta, GA",5001 - 10000 ,Financial Analytics & Research,Finance,$1 to $2 billion (USD),64,106,85.0,GA,53
93,104,Data Modeler,$79K-$134K (Glassdoor est.),4.7,"IT Concepts
4.7","Landover, MD",51 - 200 ,IT Services,Information Technology,$10 to $25 million (USD),79,134,106.5,MD,18
94,105,Data Analyst / Scientist,$52K-$93K (Glassdoor est.),4.2,"Scientific Research Corporation
4.2","Patuxent River, MD",1001 - 5000 ,IT Services,Information Technology,$100 to $500 million (USD),52,93,72.5,MD,33
95,106,Scientist,$55K-$116K (Glassdoor est.),3.4,"General Dynamics Information Technology
3.4","Suitland, MD",10000+ ,IT Services,Information Technology,$10+ billion (USD),55,116,85.5,MD,25
96,107,Data Scientist,$72K-$123K (Glassdoor est.),3.2,"MITRE
3.2","McLean, VA",5001 - 10000 ,Federal Agencies,Government,$1 to $2 billion (USD),72,123,97.5,VA,63
97,108,Data Scientist,$74K-$124K (Glassdoor est.),3.9,"The Buffalo Group
3.9","Fort Belvoir, VA",501 - 1000 ,IT Services,Information Technology,$100 to $500 million (USD),74,124,99.0,VA,11
98,109,Data Analyst,$40K-$73K (Glassdoor est.),3.1,"DentaQuest
3.1","Milwaukee, WI",1001 - 5000 ,Insurance Carriers,Insurance,$2 to $5 billion (USD),40,73,56.5,WI,20
99,110,Lead Data Scientist,$102K-$164K (Glassdoor est.),4.1,"Redjack
4.1","Silver Spring, MD",1 - 50 ,IT Services,Information Technology,Unknown / Non-Applicable,102,164,133.0,MD,14
100,112,Data Scientist,$89K-$153K (Glassdoor est.),3.8,"7Park Data
3.8","New York, NY",51 - 200 ,Research & Development,Business Services,Unknown / Non-Applicable,89,153,121.0,NY,9
101,113,Data Scientist,$61K-$110K (Glassdoor est.),4.7,"Rapid Response Monitoring
4.7","Syracuse, NY",501 - 1000 ,Security Services,Business Services,Unknown / Non-Applicable,61,110,85.5,NY,29
102,116,"Data Scientist, Rice University",$65K-$110K (Glassdoor est.),4.3,"Trilogy Ed
4.3","Houston, TX",1001 - 5000 ,Education Training Services,Education,Unknown / Non-Applicable,65,110,87.5,TX,6
103,117,Senior Data Scientist,$200K-$275K(Employer est.),4.2,"Gallup
4.2","Washington, DC",1001 - 5000 ,Consulting,Business Services,Unknown / Non-Applicable,200,275,237.5,DC,86
104,118,Data Engineer,$68K-$123K (Glassdoor est.),3.9,"CapTech
3.9","Charlotte, NC",1001 - 5000 ,IT Services,Information Technology,$100 to $500 million (USD),68,123,95.5,NC,24
105,119,Senior Data Scientist,$80K-$129K (Glassdoor est.),3.3,"American Axle & Manufacturing
3.3","Southfield, MI",10000+ ,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),80,129,104.5,MI,27
106,120,Financial Data Analyst,$41K-$72K (Glassdoor est.),4.7,"CentralReach
4.7","Matawan, NJ",201 - 500 ,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,41,72,56.5,NJ,9
107,122,Senior Data Analyst,$39K-$71K (Glassdoor est.),4.3,"Integrate
4.3","Phoenix, AZ",201 - 500 ,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),39,71,55.0,AZ,11
108,123,Research Scientist,$38K-$85K (Glassdoor est.),2.9,"Boys Town Hospital
2.9","Omaha, NE",1001 - 5000 ,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,38,85,61.5,NE,44
109,124,Data Scientist,$121K-$193K (Glassdoor est.),4.5,"Demandbase
4.5","San Francisco, CA",201 - 500 ,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),121,193,157.0,CA,15
110,125,Data Engineer,$54K-$102K (Glassdoor est.),3.4,"Sapphire Digital
3.4","Lyndhurst, NJ",201 - 500 ,Internet,Information Technology,Unknown / Non-Applicable,54,102,78.0,NJ,2
111,126,Data Scientist,$83K-$144K (Glassdoor est.),3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA",10000+ ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),83,144,113.5,MA,240
112,127,Data Scientist,$120K-$160K (Glassdoor est.),4.6,"<intent>
4.6","New York, NY",51 - 200 ,Internet,Information Technology,$100 to $500 million (USD),120,160,140.0,NY,12
113,128,Data Scientist,$102K-$163K (Glassdoor est.),3.2,"Formation
3.2","San Francisco, CA",51 - 200 ,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,102,163,132.5,CA,6
114,129,Data Engineer,$76K-$140K (Glassdoor est.),4.0,"Autodesk
4.0","San Francisco, CA",5001 - 10000 ,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),76,140,108.0,CA,39
115,130,Ag Data Scientist,$60K-$101K (Glassdoor est.),4.6,"Beck's Hybrids
4.6","Atlanta, IN",501 - 1000 ,Farm Support Services,Agriculture & Forestry,$50 to $100 million (USD),60,101,80.5,IN,84
116,131,Data Scientist,$82K-$133K (Glassdoor est.),2.8,"DrFirst
2.8","Rockville, MD",201 - 500 ,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,82,133,107.5,MD,21
117,132,Data Engineer,$65K-$125K (Glassdoor est.),4.7,"Object Partners
4.7","Minneapolis, MN",51 - 200 ,Consulting,Business Services,$25 to $50 million (USD),65,125,95.0,MN,25
118,136,Data Scientist II,$91K-$148K (Glassdoor est.),3.0,"L.A. Care Health Plan
3.0","Los Angeles, CA",1001 - 5000 ,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,91,148,119.5,CA,24
119,137,Senior Data Engineer,$95K-$173K (Glassdoor est.),3.2,"Red Ventures
3.2","Charlotte, NC",1001 - 5000 ,Advertising & Marketing,Business Services,$1 to $2 billion (USD),95,173,134.0,NC,21
120,138,Data Scientist,$77K-$124K (Glassdoor est.),4.4,"Quick Base
4.4","Cambridge, MA",201 - 500 ,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,77,124,100.5,MA,22
121,139,Data Scientist,$80K-$135K (Glassdoor est.),3.5,"The E.W. Scripps Company
3.5","Cincinnati, OH",1001 - 5000 ,TV Broadcast & Cable Networks,Media,$500 million to $1 billion (USD),80,135,107.5,OH,143
122,140,Data Engineer,$85K-$159K (Glassdoor est.),4.0,"Upside Business Travel
4.0","Washington, DC",51 - 200 ,Internet,Information Technology,Unknown / Non-Applicable,85,159,122.0,DC,6
123,141,Data Engineer,$80K-$105K(Employer est.),4.3,"Equity Residential
4.3","Chicago, IL",1001 - 5000 ,Real Estate,Real Estate,$2 to $5 billion (USD),80,105,92.5,IL,28
124,142,Data Analyst,$43K-$81K (Glassdoor est.),2.3,"Synagro
2.3","Baltimore, MD",501 - 1000 ,Research & Development,Business Services,$100 to $500 million (USD),43,81,62.0,MD,35
125,143,Project Scientist,$29K-$50K (Glassdoor est.),4.0,"Alliance Source Testing
4.0","Alabaster, AL",51 - 200 ,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),29,50,39.5,AL,21
126,145,Data Scientist,$82K-$133K (Glassdoor est.),3.6,"Accuride International
3.6","Santa Fe Springs, Los Angeles, CA",1001 - 5000 ,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),82,133,107.5,CA,55
127,146,Data Analytics Manager,$26K-$55K (Glassdoor est.),3.8,"Full Potential Solutions
3.8","Kansas City, MO",501 - 1000 ,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,26,55,40.5,MO,4
128,147,Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,$61K-$118K (Glassdoor est.),3.7,"Visa Inc.
3.7","Ashburn, VA",10000+ ,IT Services,Information Technology,$10+ billion (USD),61,118,89.5,VA,63
129,148,Data Scientist,$60K-$102K (Glassdoor est.),4.4,"Maven Wave Partners
4.4","Chicago, IL",201 - 500 ,Consulting,Business Services,$50 to $100 million (USD),60,102,81.0,IL,13
